[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
[]
Time = 2017-08-25 18:58:00, delta t in [0.22686463, 0.22726119], steps=529 (3s)
Time = 2017-08-25 19:00:00, delta t in [0.22645040, 0.22686426], steps=530 (3s)
Time = 2017-08-25 19:02:00, delta t in [0.22601339, 0.22645005], steps=531 (3s)
Time = 2017-08-25 19:04:00, delta t in [0.22560915, 0.22601304], steps=532 (3s)
Time = 2017-08-25 19:06:00, delta t in [0.22519615, 0.22560883], steps=533 (3s)
Time = 2017-08-25 19:08:00, delta t in [0.22480160, 0.22519586], steps=534 (3s)
Time = 2017-08-25 19:10:00, delta t in [0.22441433, 0.22480135], steps=535 (3s)
Time = 2017-08-25 19:12:00, delta t in [0.22402950, 0.22441414], steps=536 (3s)
Time = 2017-08-25 19:14:00, delta t in [0.22364204, 0.22402936], steps=537 (3s)
Time = 2017-08-25 19:16:00, delta t in [0.22326202, 0.22364197], steps=538 (3s)
Time = 2017-08-25 19:18:00, delta t in [0.22289969, 0.22326200], steps=538 (3s)
Time = 2017-08-25 19:20:00, delta t in [0.22252659, 0.22289907], steps=539 (3s)
Time = 2017-08-25 19:22:00, delta t in [0.22210352, 0.22252601], steps=540 (3s)
Time = 2017-08-25 19:24:00, delta t in [0.22166600, 0.22210289], steps=541 (3s)
Time = 2017-08-25 19:26:00, delta t in [0.22121824, 0.22166533], steps=542 (3s)
Time = 2017-08-25 19:28:00, delta t in [0.22076773, 0.22121749], steps=544 (3s)
Time = 2017-08-25 19:30:00, delta t in [0.22032125, 0.22076773], steps=545 (3s)
Time = 2017-08-25 19:32:00, delta t in [0.21986039, 0.22032116], steps=546 (3s)
Time = 2017-08-25 19:34:00, delta t in [0.21937391, 0.21986020], steps=547 (3s)
Time = 2017-08-25 19:36:00, delta t in [0.21885264, 0.21937355], steps=548 (3s)
Time = 2017-08-25 19:38:00, delta t in [0.21837565, 0.21885203], steps=549 (3s)
Time = 2017-08-25 19:40:00, delta t in [0.21791974, 0.21837486], steps=551 (3s)
Time = 2017-08-25 19:42:00, delta t in [0.21744623, 0.21791966], steps=552 (3s)
Time = 2017-08-25 19:44:00, delta t in [0.21700015, 0.21744601], steps=553 (3s)
Time = 2017-08-25 19:46:00, delta t in [0.21655575, 0.21699980], steps=554 (3s)
Time = 2017-08-25 19:48:00, delta t in [0.21612350, 0.21655530], steps=555 (3s)
Time = 2017-08-25 19:50:00, delta t in [0.21569465, 0.21612295], steps=556 (3s)
Time = 2017-08-25 19:52:00, delta t in [0.21524032, 0.21569408], steps=557 (3s)
Time = 2017-08-25 19:54:00, delta t in [0.21476563, 0.21523954], steps=559 (3s)
Time = 2017-08-25 19:56:00, delta t in [0.21430335, 0.21476552], steps=560 (3s)
Time = 2017-08-25 19:58:00, delta t in [0.21385195, 0.21430306], steps=561 (3s)
