2020-07-31 22:30:29,044 INFO     cresthh.anuga.utilities.log:0   |Logfile is './anuga.log' with logging level of INFO, console logging level is CRITICAL
2020-07-31 23:03:58,304 CRITICAL               sww2dem_new:132 |Output directory is max_depth.asc
2020-07-31 23:03:58,322 CRITICAL               sww2dem_new:169 |------------------------------------------------
2020-07-31 23:03:58,323 CRITICAL               sww2dem_new:170 |Statistics of SWW file:
2020-07-31 23:03:58,325 CRITICAL               sww2dem_new:171 |  Name: opt_Harvey.sww
2020-07-31 23:03:58,327 CRITICAL               sww2dem_new:172 |  Reference:
2020-07-31 23:03:58,329 CRITICAL               sww2dem_new:173 |    Lower left corner: [250757.348812, 3301330.019378]
2020-07-31 23:03:58,330 CRITICAL               sww2dem_new:177 |    Start time: 0.000000
2020-07-31 23:03:58,332 CRITICAL               sww2dem_new:178 |  Extent:
2020-07-31 23:03:58,334 CRITICAL               sww2dem_new:180 |    x [m] in [0.000000, 37293.972656], len(x) == 26526
2020-07-31 23:03:58,336 CRITICAL               sww2dem_new:182 |    y [m] in [0.000000, 22885.353516], len(y) == 26526
2020-07-31 23:03:58,384 CRITICAL               sww2dem_new:187 |    t [s] in [0.000000, 475200.000000], len(t) == 3961
2020-07-31 23:03:58,386 CRITICAL               sww2dem_new:188 |  Quantities [SI units]:
2020-07-31 23:05:55,072 CRITICAL               sww2dem_new:131 |Reading from opt_Harvey.sww
2020-07-31 23:05:55,075 CRITICAL               sww2dem_new:132 |Output directory is max_depth.asc
2020-07-31 23:05:55,092 CRITICAL               sww2dem_new:169 |------------------------------------------------
2020-07-31 23:05:55,094 CRITICAL               sww2dem_new:170 |Statistics of SWW file:
2020-07-31 23:05:55,095 CRITICAL               sww2dem_new:171 |  Name: opt_Harvey.sww
2020-07-31 23:05:55,096 CRITICAL               sww2dem_new:172 |  Reference:
2020-07-31 23:05:55,098 CRITICAL               sww2dem_new:173 |    Lower left corner: [250757.348812, 3301330.019378]
2020-07-31 23:05:55,099 CRITICAL               sww2dem_new:177 |    Start time: 0.000000
2020-07-31 23:05:55,100 CRITICAL               sww2dem_new:178 |  Extent:
2020-07-31 23:05:55,102 CRITICAL               sww2dem_new:180 |    x [m] in [0.000000, 37293.972656], len(x) == 26526
2020-07-31 23:05:55,103 CRITICAL               sww2dem_new:182 |    y [m] in [0.000000, 22885.353516], len(y) == 26526
2020-07-31 23:05:55,151 CRITICAL               sww2dem_new:187 |    t [s] in [0.000000, 475200.000000], len(t) == 3961
2020-07-31 23:05:55,153 CRITICAL               sww2dem_new:188 |  Quantities [SI units]:
2020-07-31 23:05:55,156 CRITICAL               sww2dem_new:224 |Slicing sww file, num points: <type 'netCDF4._netCDF4.Dimension'>: name = 'number_of_points', size = 26526, block size: 10000
2020-07-31 23:06:14,738 CRITICAL               sww2dem_new:131 |Reading from opt_Harvey.sww
2020-07-31 23:06:14,740 CRITICAL               sww2dem_new:132 |Output directory is max_depth.asc
2020-07-31 23:06:14,759 CRITICAL               sww2dem_new:169 |------------------------------------------------
2020-07-31 23:06:14,761 CRITICAL               sww2dem_new:170 |Statistics of SWW file:
2020-07-31 23:06:14,763 CRITICAL               sww2dem_new:171 |  Name: opt_Harvey.sww
2020-07-31 23:06:14,765 CRITICAL               sww2dem_new:172 |  Reference:
2020-07-31 23:06:14,767 CRITICAL               sww2dem_new:173 |    Lower left corner: [250757.348812, 3301330.019378]
2020-07-31 23:06:14,769 CRITICAL               sww2dem_new:177 |    Start time: 0.000000
2020-07-31 23:06:14,770 CRITICAL               sww2dem_new:178 |  Extent:
2020-07-31 23:06:14,772 CRITICAL               sww2dem_new:180 |    x [m] in [0.000000, 37293.972656], len(x) == 26526
2020-07-31 23:06:14,774 CRITICAL               sww2dem_new:182 |    y [m] in [0.000000, 22885.353516], len(y) == 26526
2020-07-31 23:06:14,822 CRITICAL               sww2dem_new:187 |    t [s] in [0.000000, 475200.000000], len(t) == 3961
2020-07-31 23:06:14,824 CRITICAL               sww2dem_new:188 |  Quantities [SI units]:
2020-07-31 23:06:14,828 CRITICAL               sww2dem_new:224 |Slicing sww file, num points: <type 'netCDF4._netCDF4.Dimension'>: name = 'number_of_points', size = 26526, block size: 10000
