evolving elements: 116
evolving elements: 144
evolving elements: 129
evolving elements: 151
evolving elements: 157
evolving elements: 143
evolving elements: 156
evolving elements: 190
evolving elements: 136
evolving elements: 178
evolving elements: 147
Time = 2017-04-01 00:00:00, steps=0 (0s)
evolving elements: 143
evolving elements: 139
evolving elements: 132
evolving elements: 155
evolving elements: 185
evolving elements: 151
evolving elements: 126
evolving elements: 167
evolving elements: 192
evolving elements: 197
evolving elements: 156
evolving elements: 147
evolving elements: 227
Time = 2017-04-01 05:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 06:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 07:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 08:26:00, delta t = 1000.00000000, steps=1 (0s)
