[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 03:54:00, delta t in [0.33463575, 0.33466099], steps=359 (1s)
Time = 2017-08-25 03:56:00, delta t in [0.33461146, 0.33463571], steps=359 (1s)
Time = 2017-08-25 03:58:00, delta t in [0.33458802, 0.33461142], steps=359 (1s)
Time = 2017-08-25 04:00:00, delta t in [0.33456540, 0.33458798], steps=359 (1s)
Time = 2017-08-25 04:02:00, delta t in [0.33454360, 0.33456536], steps=359 (1s)
Time = 2017-08-25 04:04:00, delta t in [0.33452264, 0.33454356], steps=359 (1s)
Time = 2017-08-25 04:06:00, delta t in [0.33450254, 0.33452260], steps=359 (1s)
Time = 2017-08-25 04:08:00, delta t in [0.33448329, 0.33450250], steps=359 (1s)
Time = 2017-08-25 04:10:00, delta t in [0.33446488, 0.33448325], steps=359 (1s)
Time = 2017-08-25 04:12:00, delta t in [0.33444732, 0.33446484], steps=359 (1s)
Time = 2017-08-25 04:14:00, delta t in [0.33443060, 0.33444728], steps=359 (1s)
Time = 2017-08-25 04:16:00, delta t in [0.33441469, 0.33443056], steps=359 (1s)
Time = 2017-08-25 04:18:00, delta t in [0.33439958, 0.33441465], steps=359 (1s)
Time = 2017-08-25 04:20:00, delta t in [0.33438525, 0.33439955], steps=359 (1s)
Time = 2017-08-25 04:22:00, delta t in [0.33437168, 0.33438522], steps=359 (1s)
Time = 2017-08-25 04:24:00, delta t in [0.33435883, 0.33437165], steps=359 (1s)
Time = 2017-08-25 04:26:00, delta t in [0.33434666, 0.33435880], steps=359 (1s)
Time = 2017-08-25 04:28:00, delta t in [0.33433514, 0.33434663], steps=359 (1s)
Time = 2017-08-25 04:30:00, delta t in [0.33432426, 0.33433511], steps=359 (1s)
Time = 2017-08-25 04:32:00, delta t in [0.33431395, 0.33432424], steps=359 (1s)
Time = 2017-08-25 04:34:00, delta t in [0.33430419, 0.33431392], steps=359 (1s)
Time = 2017-08-25 04:36:00, delta t in [0.33429500, 0.33430416], steps=359 (1s)
Time = 2017-08-25 04:38:00, delta t in [0.33428635, 0.33429497], steps=359 (1s)
Time = 2017-08-25 04:40:00, delta t in [0.33427822, 0.33428633], steps=359 (1s)
Time = 2017-08-25 04:42:00, delta t in [0.33427059, 0.33427820], steps=359 (1s)
Time = 2017-08-25 04:44:00, delta t in [0.33426345, 0.33427057], steps=359 (1s)
Time = 2017-08-25 04:46:00, delta t in [0.33425675, 0.33426343], steps=360 (1s)
Time = 2017-08-25 04:48:00, delta t in [0.33425050, 0.33425675], steps=360 (1s)
Time = 2017-08-25 04:50:00, delta t in [0.33424468, 0.33425050], steps=360 (1s)
Time = 2017-08-25 04:52:00, delta t in [0.33423927, 0.33424468], steps=360 (1s)
Time = 2017-08-25 04:54:00, delta t in [0.33423427, 0.33423927], steps=360 (1s)
Time = 2017-08-25 04:56:00, delta t in [0.33422964, 0.33423427], steps=360 (1s)
Time = 2017-08-25 04:58:00, delta t in [0.33422537, 0.33422964], steps=360 (1s)
Time = 2017-08-25 05:00:00, delta t in [0.33422145, 0.33422537], steps=360 (1s)
Time = 2017-08-25 05:02:00, delta t in [0.33421785, 0.33422144], steps=360 (1s)
Time = 2017-08-25 05:04:00, delta t in [0.33421457, 0.33421785], steps=360 (1s)
Time = 2017-08-25 05:06:00, delta t in [0.33421160, 0.33421457], steps=360 (1s)
Time = 2017-08-25 05:08:00, delta t in [0.33420892, 0.33421160], steps=360 (1s)
Time = 2017-08-25 05:10:00, delta t in [0.33420653, 0.33420892], steps=360 (1s)
Time = 2017-08-25 05:12:00, delta t in [0.33420440, 0.33420653], steps=360 (1s)
Time = 2017-08-25 05:14:00, delta t in [0.33420253, 0.33420440], steps=360 (1s)
Time = 2017-08-25 05:16:00, delta t in [0.33420090, 0.33420253], steps=360 (1s)
Time = 2017-08-25 05:18:00, delta t in [0.33419951, 0.33420090], steps=360 (1s)
Time = 2017-08-25 05:20:00, delta t in [0.33419834, 0.33419951], steps=360 (1s)
Time = 2017-08-25 05:22:00, delta t in [0.33419739, 0.33419834], steps=360 (1s)
Time = 2017-08-25 05:24:00, delta t in [0.33419664, 0.33419739], steps=360 (1s)
Time = 2017-08-25 05:26:00, delta t in [0.33419609, 0.33419664], steps=360 (1s)
Time = 2017-08-25 05:28:00, delta t in [0.33419573, 0.33419609], steps=360 (1s)
Time = 2017-08-25 05:30:00, delta t in [0.33419555, 0.33419573], steps=360 (1s)
Time = 2017-08-25 05:32:00, delta t in [0.33419553, 0.33419555], steps=360 (1s)
Time = 2017-08-25 05:34:00, delta t in [0.33419554, 0.33419570], steps=360 (1s)
Time = 2017-08-25 05:36:00, delta t in [0.33419570, 0.33419602], steps=360 (1s)
Time = 2017-08-25 05:38:00, delta t in [0.33419602, 0.33419648], steps=360 (1s)
Time = 2017-08-25 05:40:00, delta t in [0.33419648, 0.33419709], steps=360 (1s)
Time = 2017-08-25 05:42:00, delta t in [0.33419709, 0.33419784], steps=360 (1s)
Time = 2017-08-25 05:44:00, delta t in [0.33419784, 0.33419871], steps=360 (1s)
Time = 2017-08-25 05:46:00, delta t in [0.33419871, 0.33419971], steps=360 (1s)
Time = 2017-08-25 05:48:00, delta t in [0.33419971, 0.33420084], steps=360 (1s)
Time = 2017-08-25 05:50:00, delta t in [0.33420084, 0.33420207], steps=360 (1s)
Time = 2017-08-25 05:52:00, delta t in [0.33420207, 0.33420342], steps=360 (1s)
Time = 2017-08-25 05:54:00, delta t in [0.33420342, 0.33420486], steps=360 (1s)
Time = 2017-08-25 05:56:00, delta t in [0.33420486, 0.33420641], steps=360 (1s)
Time = 2017-08-25 05:58:00, delta t in [0.33420641, 0.33420804], steps=360 (1s)
Time = 2017-08-25 06:00:00, delta t in [0.33420804, 0.33420977], steps=360 (1s)
Time = 2017-08-25 06:02:00, delta t in [0.33420977, 0.33421157], steps=360 (1s)
Time = 2017-08-25 06:04:00, delta t in [0.33421157, 0.33421346], steps=360 (1s)
Time = 2017-08-25 06:06:00, delta t in [0.33421346, 0.33421543], steps=360 (1s)
Time = 2017-08-25 06:08:00, delta t in [0.33421543, 0.33421746], steps=360 (1s)
Time = 2017-08-25 06:10:00, delta t in [0.33421746, 0.33421957], steps=360 (1s)
Time = 2017-08-25 06:12:00, delta t in [0.33421957, 0.33422174], steps=360 (1s)
Time = 2017-08-25 06:14:00, delta t in [0.33422174, 0.33422397], steps=360 (1s)
Time = 2017-08-25 06:16:00, delta t in [0.33422397, 0.33422626], steps=360 (1s)
Time = 2017-08-25 06:18:00, delta t in [0.33422626, 0.33422860], steps=360 (1s)
Time = 2017-08-25 06:20:00, delta t in [0.33422860, 0.33423099], steps=360 (1s)
Time = 2017-08-25 06:22:00, delta t in [0.33423099, 0.33423344], steps=360 (1s)
Time = 2017-08-25 06:24:00, delta t in [0.33423344, 0.33423593], steps=360 (1s)
Time = 2017-08-25 06:26:00, delta t in [0.33423593, 0.33423846], steps=360 (1s)
Time = 2017-08-25 06:28:00, delta t in [0.33423846, 0.33424103], steps=360 (1s)
Time = 2017-08-25 06:30:00, delta t in [0.33424103, 0.33424364], steps=360 (1s)
Time = 2017-08-25 06:32:00, delta t in [0.33424364, 0.33424628], steps=360 (1s)
Time = 2017-08-25 06:34:00, delta t in [0.33424628, 0.33424896], steps=360 (1s)
Time = 2017-08-25 06:36:00, delta t in [0.33424896, 0.33425167], steps=360 (1s)
Time = 2017-08-25 06:38:00, delta t in [0.33425167, 0.33425440], steps=360 (1s)
Time = 2017-08-25 06:40:00, delta t in [0.33425440, 0.33425716], steps=360 (1s)
Time = 2017-08-25 06:42:00, delta t in [0.33425716, 0.33425995], steps=360 (1s)
Time = 2017-08-25 06:44:00, delta t in [0.33425995, 0.33426276], steps=360 (1s)
Time = 2017-08-25 06:46:00, delta t in [0.33426276, 0.33426558], steps=359 (1s)
Time = 2017-08-25 06:48:00, delta t in [0.33426559, 0.33426843], steps=359 (1s)
Time = 2017-08-25 06:50:00, delta t in [0.33426844, 0.33427129], steps=359 (1s)
Time = 2017-08-25 06:52:00, delta t in [0.33427130, 0.33427418], steps=359 (1s)
Time = 2017-08-25 06:54:00, delta t in [0.33427419, 0.33427708], steps=359 (1s)
Time = 2017-08-25 06:56:00, delta t in [0.33427708, 0.33427999], steps=359 (1s)
